,capacity
HUAWEI LUA-L02,2100
LG-D680,3140
VS990,3000
SM-J320VPP,2600
CHC-U03,2550
ELUGA Ray 500,4000
Karbonn A5s,1200
Eluga_Arc_2,2450
LenovoA3300-GV,3500
Celkon_Q405,1500
LG-F200S,2150
SM-T285M,4000
L50,1900
C6530N,2000
SM-G920K,2550
SM-A300Y,1900
A574BL,1800
RNE-L21,3340
m2,4000
SGH-I747M,2100
i5C,1510
B7S,2540
H540,3000
CRO-L22,2200
Intex Aqua Strong 5.1+,2300
SAMSUNG-SGH-I467,4600
Micromax S301,1200
ZTE T920,2500
Q339,1650
SAMSUNG-SM-J120A,2050
2013023,2000
QMobile i5,2000
9008J,3000
ALPHA+,1860
itel A41,5000
QMobile I9i,2000
HUAWEI Y330-U11,1500
SM-G313HU,1500
Lenovo A6600d40,2300
vivo 1707,2350
Redmi Note 5A Prime,3080
Lenovo K900_ROW,2500
981,3260
2014811,2200
SM-G550T1,2600
Bluboo Mini,1500
S50,4000
LG-H735,2300
Lenovo TB3-730X,3450
4047A,2050
I221,1350
5056A,2500
ASUS_Z00RD,2040
SM-A5000,2300
SM-J200H,2000
H30-U10,2300
LG-SP200,2100
U10,5000
H940,3200
SCH-I435,2600
A1-830,4000
Z558VL,3400
GT-S5303B,1200
LG-E612f,1500
SM-S903VL,2800
Micromax Q300,1200
QMobile S2,2000
QMobile S1,2000
L54,4000
Micromax Q350,2000
X17,2350
HUAWEI Y600-U20,2100
VOTO V2i,2500
moto g(6),3000
SM-T550,6000
PGN-403,6000
MTN-S630,1830
itel P41,2000
Redmi 5 Plus,4000
T8,5100
Micromax Q333,1650
Micromax Q452,1500
R70,4000
CROSS A7S,1400
SM-T116NY,3600
iris405+,1400
Blade V6 Plus,3000
LG-LS995,3500
Micromax Q331,2000
4034X,1500
Me 5,5000
LG-X150,2540
SM-J700T,3000
Z855,2300
Coolpad E570,2000
D5102,2500
HUAWEI C8816D,1900
ALFA,1860
MXG401,4500
Lenovo A7010a48,3300
TA-1033,3000
Aqua Ace,2300
Lenovo A6600a40,2300
BQru-5503,2300
SAMSUNG-SM-G360AZ,2000
M4 SS4350,5000
Urban,410
D5833,2600
SAMSUNG-SM-J320AZ,2600
SAMSUNG-SM-T337A,4450
4034G,1500
6014X,1700
itel S11,1800
SAMSUNG-SM-G900A,2800
LG-M700,3000
V7,3000
GT-I8190L,1500
SM-G313M,1800
S4X,4000
K-2,4000
XT1023,1980
LG-P715,2460
Aqua Freedom,2300
CT-88,785
Z3,3100
Astra Titan 4G,1600
GT-S5301,1200
Lenovo A706_ROW,2000
QMobile X60,1500
SM-J327T,2600
SM-G360V,2000
Micromax Q424,1750
SM-J727P,3300
Micromax Q381,2000
5010X,2000
LG G Optimus v2,2150
Aqua Air,2000
iris 550,2600
F103 Pro,2400
LS-5017,2420
Air A10,8827
i1,3330
LS-5016,2420
Micromax Q385,2500
X1 Atom s,1400
SO-02F,2300
LG-X165g,2800
ZTE BLADE L110,1400
B3-A30,5910
Aqua Ace II,2300
LG-M430,3200
Lenovo A6020a46,2750
Micromax Q340,2000
Tab 2_3G,7000
Infinix HOT 4 Lite,4000
FRD-L02,3000
BQ-7064G,3100
X28,2600
KFFOWI,2980
SM-T210,4000
LG-K428,2300
Moto Z (2),3000
Micromax E451,2100
Z3001S,2100
Flair Z1,2000
C6750,2100
SM-G570Y,2400
LGMP450,3080
TF201,25
SM-G900V,2800
La Tab 72,2800
LG-K130,1940
R821,1700
RCT6773W22B,2500
GT-I8730,2000
ZTE BLADE A110,1400
TA-1039,3000
Aqua Power 4G,4000
Lenovo A390_ROW,1500
QMobile S1 PRO,2000
Lenovo K10a40,2750
LS-4008,2420
LG-X170g,2460
GT-I8552,2000
PRA-LX2,3000
iris 870,2500
LGL158VL,3000
SM-J730G,3600
SM-T377V,5000
ELUGA Prim,3000
D6653,3100
LG-V498S1,4200
MioneI,5124
HTC Desire 820,2600
A1,3080
SM-J730FM,3600
SM-J320V,2600
LG-X240,2500
MI PAD 2,6190
Rocket,2700
P05,8220
Lenovo A889,2500
Coolpad Y83-I00,2500
Micromax Q4251,4000
P700+,1700
SM-G960U,3000
SM-G530BT,2600
SM-J330F,2400
LG-K330,2125
HUAWEI Y221-U03,1350
VS835,3000
8062,2870
Caryota 7,3000
TOMMY2,2500
XT1021,1980
X8Pro,4000
SM-T217S,4000
XT907,2000
Z Play,3510
BLU ADVANCE 4.0 L2,1300
5056N,2500
Aqua_Q7,2300
TECNO i3,3050
V23GB,2500
N9137,2200
S55,700
LT26i,1750
C6833,3050
JERRY2,2500
SM-J510F,3100
iris80,2500
MAX2,5300
SM-P555,6000
Lenovo A369i,1500
P71,2000
SM-N915S,3000
Desire 820G+,2600
S4K,2330
A750,3300
4009E,1300
LG-K371,2125
Andromax AD687G,2500
SM-T380,5000
LG-M257,2800
DIG-L03,3000
X20S,3250
C1905,1750
Be_X,4500
UL40,3040
iris fuel60,4000
iris X8q,2500
LG-F180L,2100
SM-G386T1,2100
V5,3000
Z200,1300
LG-H340AR,1900
D2302,2300
Twist Mini,3450
LG-K120GT,1940
LS-4503,2420
SM-J310,2600
Flare J2 Mini,1500
Gravity,2800
LUA-L22,2100
Micromax Q386,2500
Aqua_Lions_3G,2300
LG-F720L,3000
Infinix HOT 4 Pro,4000
G3223,2700
C2004,1750
HUAWEI Y520-U22,1750
Lenovo TB-7504X,3500
QUIQ cosmos 4G,4380
R7kf,2320
Candy,2500
i6 Metal HD,2000
SM-J530Y,3000
SM-N900U,3200
Lenovo TB-8504F,4850
SM-N920L,3000
HUAWEI CUN-L33,2200
LG-D105,1540
LS-5014,2420
M7,2300
GT-S7275R,1500
SM-A500F,2300
lephone_W8,1200
SM-G800H,2100
GT-I9105P,1650
4034F,1500
LG-H343,1900
COMIO C1,2500
C6602,2330
4027A,1400
Micromax Q402Plus,1600
4009D,1300
LGLS770,3000
Optima 7.22 3G TT7002MG,2800
Transformer TF101,24
SCH-R970C,2600
5080A,2460
TR10CS1,1000
Micromax Q417,2500
CP8298_I00,2500
Lenovo A850+,2250
P470,3200
HUAWEI TAG-L13,2200
HTC6525LVW,2600
XT1585,3760
Micromax Q4310,3050
Xlife-Proton5 Pro,2500
Titanium Jumbo 2,2000
SM-G531M,2600
Z80,2500
Platinum A57,2900
SM-A700FD,2600
TECNO M3,2870
KFDOWI,2400
Lenovo TB-X304L,7000
PRA-LA1,3000
Lenovo K10e70,4050
TIT-AL00,4000
QMobile i10,1700
SM-G955U1,3500
HTC Desire 526G dual sim,2000
YU5510,2500
Lenovo K53a48,4000
Eros Plus,3570
Lenovo A5500-H,4200
Nitro_4s,2200
X41 Plus,2500
Lenovo K8 Note,4000
F103,2400
SM-N920T,3000
Lenovo A7000-a,2900
mb4-3G,1500
5012G,2000
E2006,2300
LG-SP320,4500
HUAWEI Y360-U23,1730
MediaPad T1 8.0 Pro,4800
SkyPad E8-3D,3500
SM-T561M,5000
A571VL,1300
ONE TOUCH 4016A,1300
VS501,2700
HUAWEI Y560-L02,2000
5054W,2500
LOGIC_L5D,1500
SM-J200BT,2000
GT-S5301L,1200
Micromax Q352,2000
EXMART R1,1500
M502,1800
itel A21,1800
HUAWEI Y635-L03,2000
TCL 302U,4500
M4 SS4456,5000
ASUS_T00N,2300
Aqua Y2 IPS,1500
SAMSUNG-SM-G928A,3000
Lenovo A536,2000
A120,950
Eluga_A2,4000
Neffos Y5,3020
BLU DASH M2,2000
A74N,2300
LG-F240S,3140
ADR6410LVW,1700
BLU STUDIO X8 HD,2000
LGL58VL,2500
INTEX AQUA LIONS N1,2300
Micromax Q375,2000
D2212,2330
HUAWEI SCL-L03,2200
O6,3000
Lenovo A3000-H,3500
era 2,2350
Aquaris M10,7280
M5s,3000
SAMSUNG-SM-G935A,3600
LG-M327,4500
ASUS_Z01BDB,3000
LGMS395,2100
GT-S7562L,1500
Z988,3400
GIONEE P7,2300
Lenovo P1a42,5000
HUAWEI LUA-L01,2100
ST7150,3400
Z717VL,2100
HUAWEI TAG-L32,2200
MyPhone my96 DTV,1500
HUAWEI LUA-L03,2100
SM-G550T,2600
Infinix X5010,3060
M5,7500
itel S41,5000
Aqua_Pro_4G,2300
SM-J120FN,2050
Bucare Y330-U05,1500
A75G,650
B75,1350
iris50,3000
C6903,3000
F1fw,2500
Ilium X710,1900
PHQ520,4000
4047G,2050
S4i,2600
ASUS_A006,3000
Pixel C,9240
SM-G928V,3000
HUAWEI CUN-L22,2200
Astra Metal 4G,3140
LG-F350S,3200
LLD-AL10,3000
ASUS_Z008,3000
CPH1819,3400
SM-G965U,3500
V5s,3000
Lava A51,1750
iris 605,2200
Ocean 6,6000
Micromax Q370,1700
LG-K520,3000
SM-G900W8,2800
YOLO PRO,4045
Lenovo A2016a40,2000
SHV32,3000
Infinity_K,4000
LT650,4000
Grand2,2600
G3313,2620
LG-M255,2700
H710VL,3000
Konnect Neo 4G,4500
LGL164VL,2125
LG-H810,3000
SM-J105Y,1500
S6,2550
LG-H955,3000
Alfa L,2200
ELUGA_I2,2000
SM-J250G,2600
Le X526,3000
A62,700
B1-7A0,3700
LTE2,2150
SM-P600,8220
moto e5 cruise,2800
P023,4890
FIG-LA1,3000
CPN-L09,4800
X81,2700
LG-G710,3000
P100,2200
ROBBY2,2800
ZTE Z10,3200
LG-X180g,3000
SAMSUNG-SM-G920A,2550
S_plus,1650
BLN-L24,3340
Z836BL,3000
TECNO W1,1950
LGLS675,2125
F3313,2300
era_X,2500
ELUGA_Pulse_X,3000
INTEX AQUA TREND LITE,3000
LS-5504,1950
4017F,1300
ASUS_X017DA,3300
V75,720
Studio G2 HD,2000
XOLO One,1700
LGL82VL,3000
G3312,2620
CP8676_I03,3000
HUAWEI TIT-U02,4000
HUAWEI CUN-L23,2200
SM-P585,7300
SM-C5000,2600
SAMSUNG-SGH-I337,2600
vivo 1609,3000
LG-H440,2100
A59,3075
250,500
LG-K100,1940
MS50L,3000
TA-1028,2630
C5503,2300
X3_Soul_Style,3150
SM-G550T2,2600
SM-J701M,3000
Y13,5000
Aqua 3G Pro Q,2300
POLYTRON R2507,2400
HUAWEI LYO-L01,2200
SM-J330L,2400
SM-J5007,2600
HUAWEI VNS-L21,3000
SM-G361H,2000
J7(2016),3300
Y12,5000
INTEX AQUA LIONS 2,2300
I-KALL,1000
Ilium X510,2100
SM-N900K,3200
R7f,2320
SHV-E470S,2600
Micromax Q427,2500
FLA-LX2,4000
HEAVEN 10.1 1.2,7000
J7 Pro,3600
Nitro 4N LTE,3000
C9,4000
VOX FIRE 4G VS5037PL,1850
E5533,2930
LUX,3000
moto g(6) plus,3200
Z833,2300
Z917VL,3400
P7,2500
SCL-L01,2200
SM-T377T,5000
Coolpad 3622A,2450
YU5010,2230
VS880PP,3200
A48,1300
LYF_LS-4006,2420
LS-5002,2420
TA-1003,3000
8050E,2580
Konnect 5.1,1200
vivo 1802,3260
LGUS110,2100
LND-L29,3000
vivo Y35,2300
ICE2,3050
N9560,3990
Infinit MX Pro,3000
Aqua Power+,4000
LG-H910,3200
Micromax Q463,2000
SM-J730K,3600
Micromax Q437,2000
Flare S4 lite,2600
Redmi 3X,4100
MI 5X,3080
SM-G7202,2500
WAS-LX1,3000
K9 Smart Grand,1800
Astra Young Pro,4500
Sparkle V,1700
i7A,4000
Aqua_Power_II,4000
Dash G,2000
SAMSUNG-SM-G890A,3500
KFAUWI,2400
iris 600,4000
LG-V497,4200
SM-T817T,5870
HUAWEI SCL-L02,2200
LG-V496,4200
Energy E12,1000
ZTE Blade A511,2540
5015A,2000
LM-X410(FG),2880
SO-02H,2700
Infinity i,4000
LDN-L21,3000
ePad-7,3500
P55 Novo 4G,2500
SM-G900R6,2800
SHV-E330L,2600
S4,2600
Note,3500
XT1060,2200
Aqua_Q7_Pro,2300
SM-P585Y,7300
itel A12,1400
Intex_Cloud_Style_4G,2300
M50 STAR,3700
STAR 4,2450
LG-H440AR,2100
Blade A460,2200
LG-H326,1900
S6s,3150
6055B,2610
LG-K121,1940
Alcatel_4060A,2000
9001X,2580
AUM-AL20,3000
Micromax A99,1950
X4.5,3000
D5322,3000
9250,3260
H1611,4050
Touchbook M7 Pro,3000
SM-J710FN,3300
P5,1850
HUAWEI Y560-L03,2000
U,2500
Tab 3G 7-2,4000
SM-G900S,2800
ZTE Blade V770,2500
5027B,1400
SHV-E300L,2600
Lenovo K8 Plus,4000
Elite 4T,4150
Z983,3000
FIT,80
SAMSUNG-SM-G891A,4000
SM-J727T,3300
SMART EV5,3000
SM-J250M,2600
SM-J8 Pro,3500
Grand M,2200
Z00D,2500
Micromax E471,2260
6058D,2800
A97 2GB,2350
SENSEIT_A109,3500
Lenovo PB2-650M,4050
Smart Pro,4000
SM-A320F,2350
SM-C7000,3300
QMobile Z10,2900
V4,2700
Aura Note 4G,3100
Lenovo TB-7304X,3500
vivo Y51,2350
Flare S5 Plus,2800
LG-H345,1900
SM-G906K,2800
HUAWEI ALE-L04,2200
SM-J320W8,2600
Lenovo TB-7304F,3500
AM530,2200
LDN-LX3,3000
LS-5006,1800
N702,1200
Azumi_IRO_A4_Q,1400
L52 Pro,3000
Micromax Q412,2000
Astra Colors 4G,3000
P5_eMagic,1600
SM-T530NU,6800
Ilium L950,2800
PGN611,3140
5060,2250
5023F,5000
iris 810,2500
SM-G530T1,2600
E6553,2930
TECNO K7,3000
Lenovo Z90a40,3000
LGM-X600K,3000
G14,1520
Aquaris V,3100
SM-N9500,3300
4047X,2050
Venture V8,3000
X30,4350
DRA-L21,3020
C6603,2330
MITO A82,2000
HUAWEI TAG-L23,2200
E2 Noir,4000
HUAWEI TAG-L01,2200
SM-J120ZN,2050
FIG-LX1,3000
FLARE J2,2000
W_K600,2500
SM-J200F,2000
INTEX AQUA ZENITH,2300
BQ-5522,3100
CPH1723,3200
Noir A1 lite,4000
A7 7,3600
LG-X210,2125
Z828TL,2300
A1000,2000
VS988,3300
A6 Glam,3000
M20i,3400
VFD 1300,4600
5059A,2460
SM-J727A,3600
CP8676_I02,3000
SM-J400F,3000
S5.1,2050
RHYTHM RX200,1500
SM-N910H,3220
Micromax Q372,2000
Alcatel_5054O,2000
Qnet,2900
SM-T360,4450
Z90,2750
Micromax E352,2500
LM-X415S,3000
QMobile S5,2300
Panasonic T44,1800
SM-S920L,2600
TF201T,25
HTC Desire 625,2000
SAMSUNG-SM-N920A,3000
Z820,1800
Y538,1750
LG-K500,2300
ZTE BLADE A310,2000
GLAM,1020
LG-US996,3200
PICOpad 7 3G,3950
TRT-L21A,4000
LS-5503,4000
PC2,4800
lephone_W7R,1500
HARRY,2500
Nokia 7 plus,3800
BQ-4526,3100
LGUS991,3000
A40 Indian Plus,3100
5059,2460
U20_Plus,5000
Micromax Bharat 5 Plus,5000
prime,4000
LG-H340,1900
B1-850,4550
MotoE2,2390
Micromax Q440,2500
Kylin 5.0,3000
ZTE BLADE A510,2400
Micromax C1A,2500
LG-K530,2900
P4_Pro,4200
E5363,2600
X1 Grand,2200
Amaze S6 Plus,3000
5019D,1400
M350 Pro,5000
HTCD100LVWPP,2000
A577VL,3100
Xylo P,3400
View XL,3000
VFD 1100,3400
SM-J327R7,2600
S8 edge,3000
SM-C900F,4000
HUAWEI KII-L21,3000
SM-J3119,2600
P6_plus,2100
BLACK-1XM,2400
Pop4,2500
HTC Desire 728 dual sim,2800
U2,3100
SM-J330FN,2400
Mtech ACE4G,1500
HUAWEI LUA-L23,2100
LS-5201,2420
A88 Pro,1800
C6740N,2100
Y100_Plus,1050
Dash L2,1400
A1 lite,4000
Micromax Q303,1300
INTEX AQUA JEWEL 2,2300
iris88s,2000
ADVAN S40,3000
Blade A465,2200
GI-626,2000
itel A44 Pro,1500
Advance 4.0M,1300
MAXTRON PLUTO,3000
SUGAR Y8 MAX,5000
UniQ,2000
Coolpad 3503I,3050
HTC Desire 10 lifestyle,2700
i-mobile_IQ_BIG2,1050
QMobile M350,5000
SM-J510UN,3100
A20,4000
Micromax P681,4000
HTC Desire 816 dual sim,2600
SM-G935U,3600
LS-5018,2420
VFD 620,2460
E4_Lite,2100
SM-J727S,3300
SM-G360T1,2000
QMobile E1,4000
ASUS_X00ADA,2600
YOGA Tablet 2 Pro-1380L,9600
ASUS_X008DA,4130
X1S,4000
5046Y,2460
INTEX AQUA 5.5 VR+,2300
A3-A40,6100
BLN-L22,3340
Z799VL,3400
P7plus,2500
ITELL K4700,1500
XT1064,2070
Z220,1300
SM-G850M,1860
SAMSUNG-SM-J327A,2600
YU5011,2500
P10,3200
A76Plus,1850
CRO-U00,2200
Micromax E353,2820
SM-G930W8,3000
A68,1750
SM-T285YD,4000
HUAWEI LUA-L21,2100
F488,1000
LS-6001,2300
i7s Plus,2900
SM-N920P,3000
Z6,4000
Micromax Bharat 5,5000
iris Fuel50,3000
HUAWEI TAG-L03,2200
E5606,2600
Aqua Q8,1700
Max 3,5500
SM-S906L,2550
LGM-K121K,2800
X7 Plus,4000
SM-T330,4450
LGL57BL,1900
Plume P8 Pro,3000
Micromax Q400,2000
Aquaris U2,3100
M4 SS4452,2400
LDN-LX2,3000
AtomTwo,1530
Coolpad Y91-I00,2500
9001D,2580
Lenovo K8,4000
CUN-L22,2200
SAMSUNG-SM-J120AZ,2050
X2_Soul_Style_Plus,2350
A48_8GB,1300
i10,1700
Studio J2,2000
5016A,2000
T06,2000
U50,2050
Alcatel_5098O,2580
Mega,3200
B73,1100
M20s,5000
Panasonic_Eluga_I3,2700
P2,5100
SM-G600S,3000
A79,2200
S5,2800
Aqua Wing,2300
B3-A40FHD,6100
IM6,750
i4A,3120
Blade L110,1400
Micromax Q462,2000
C9 Plus,4000
Infinix X559,4000
SM-G850Y,1860
INTEX AQUA A4 PLUS,2300
Astro,2000
Micromax Q338,2000
XT1526,2390
WE L6,820
STK Life 5,1900
SMART MAX 4.0,3000
ASUS_Z00SD,1600
V52,3000
5017A,1400
ASUS_X009DA,2070
X7,3500
4049G,1800
5045G,2000
iPhone X,2716
QMobile i8i,2120
X9009,2850
ZTE BLADE A521,2540
SM-N910W8,3220
Vivo 5 Mini,1500
SLA-L03,3020
Galaxy J7â‚†,3000
SMART Start 3,3500
SAMSUNG-SM-J727A,3300
S7A,4000
LG-D852,3000
Infinix-X600-LTE,4500
LG-K450,4100
LG-H901,3000
EVO2,1400
LM-X210VPP,2500
5044T,2050
9203A,2580
G3416,3430
ZTE Blade A465,2200
P9+,3000
MYA-L03,3000
itel S11X,1800
Royal R6,2000
Infinix NOTE 3 Pro,4500
T11,1500
SHV-E330S,2600
Titanium Vista 4G,2050
E1C 3G,1700
Clever-Wave S50,2630
Me 4,4100
Lenovo S1a40,2420
C231,2400
XT1093,2300
R70A,4000
LGMS428,2300
BTV-W09,5100
Elite_4.0S,3000
Prime P4442,4000
Z971,3400
SM-P355,4200
Micromax Q416,2500
Eluga_Ray_700,5000
SM-G928A,3000
LG-F560K,3000
GT-I9295,2600
5054S,2500
N503,1200
Z power,2600
SLAY II,4230
DLI-L42,3020
SM-G928C,3000
vivo 1727,3260
Micromax E484,3000
WELWITSCHIA,1850
LG-K557,2900
A9,3800
P6 PRO,3140
T2J,4100
U45,2000
KIW-AL10,3000
Aqua Super,4000
KYOCERA-C6742A,2100
ADMIRE NEO+,4500
5062,2100
M26,4850
H300,2300
HUAWEI VNS-L23,3000
LG-V520,4800
Star 4G,2450
O8,4300
V65,1050
SM-A710L,3300
LGL157BL,3000
Infinix-X552,3200
HWT31,6660
RNE-L22,3340
P91,2500
AUM-L29,3000
AGS-L09,4800
LGM-X600L,3000
Platinum M4,2400
M11,5000
SM-J500N0,2600
SM-J710K,3300
SM-J106M,1500
Joy,1900
F8332,2900
LG-H634,3000
9003X,2580
CAG-L22,2280
wt88047,2200
ZB500KL,2600
Q6,3000
AQT80,5900
VS986,3000
SAMSUNG-SM-G925A,2600
E5633,2600
P2 Lite,3000
TECNO S1,3000
5065A,2000
SAMSUNG-SM-G930A,3000
SM-T800,7900
STUDIO ENERGY 2,5000
moto e5 play,2800
VFD 200,1400
5011A,2460
LM-X210,2410
X20,3250
Thrill Boost 3,3400
M50 MAX,5000
Jump Neo,4500
X50,4200
U6,820
SM-A605G,3500
SM-J510S,3100
SM-G930U,3000
6039Y,2000
X9,3100
HTCD160LVW,2200
A3,4030
YUHO U1,3500
QMobile S1 Lite,2000
Z91,3000
Phantom6,2700
SM-C7010,3300
BGO-DL09,4100
Me 3S,4230
ULTRA Z,3050
5017X,1400
Lenovo TAB 2 A7-30DC,3450
CPH1605,2900
ELUGA_A3,4000
Konnect Plus,3570
HTC Desire 826 dual sim,2600
SCH-I545PP,2600
LG-H900,3000
Studio M5 Plus,2300
iris 505,2000
Me 1+,2840
S40,3000
V140,1800
A74A*,1500
YU5530,4000
SM-A710F,3300
SP5540-CasiopeaXXL,3050
HTC_D728x,2800
8_Plus,2691
STELLAR,1350
7008,3400
Flare_S5_mini,2100
QMobile i8i PRO,2120
PHONE 8,1821
vivo 1801,3360
Aspire2,2000
SM-G610K,3300
SM-G5700,2400
Z8,2400
D1,1785
SM-J337V,2600
LGL63BL,2100
LG-F500L,3000
BLU GRAND 5.5 HD,2500
XT1008,3500
SM-G903M,2800
iris560,2000
Lenovo TB3-850M,4290
R40D,2800
SM-A700S,2600
MOVIC-W5,1200
Xplay6,4080
F3113,2300
VS980 4G,3000
LG-D800,3000
SM-G5500,2600
DOMOS,1000
ATU-L31,3000
Iris Fuel F1,4000
M631Y,1200
Star_Plus,1500
QT-10,2100
AIR,8600
SM-N9000Q,3200
SM-G930VL,3000
verykoolS4008,1400
5056U,2500
BLADE V8,2730
8080,1000
Aqua_LifeIII,2300
TRT-LX3,4000
STUDIO_G_HD,2200
Aura Note 2,3100
SMART Race 4G,1880
RNE-L03,3340
SM-J400M,3000
Aquaris U Lite,3080
FIG-LX3,3000
Z828,2300
era1Xpro,2500
PRA-TL10,3000
ZTE T320,1800
Micromax Q354,1450
K7,2125
HTC One A9s,2300
ASUS_A009,3000
MyPhone my92 DTV,1500
SM-G9550,3500
A89,2000
Panasonic P85,4000
CPH1861,3410
ZTE BLADE V0850,2730
GO401,1450
Archos 55 Platinum,2000
TA-2,7000
ASUS_Z00YD,2070
iris,2100
SM-J327W,2600
Micromax E4815,3000
Power 3S,4230
HUAWEI RIO-L03,3000
Lenovo P2a42,5100
Studio XL 2,4900
Infinix X603-LTE,4350
HUAWEI LUA-U03,2100
SM-T536,6800
Q90,3000
Infinix X571,4500
P10 Plus,3750
VerykoolSL5550,2500
BAC-L03,3340
Coolpad 3623A,2450
M40,3500
i60,4000
HTC U11 plus,3930
NEXT V,3500
Lenovo PB1-750M,4250
Micromax Q4311,3000
Aqua Young,2300
M3E,3100
LG-F620S,2050
V900,1450
KWANITA,670
SMART 4G MAX 5.5,1880
GT-S7390L,1500
BLL-L22,3340
G3412,3430
LG-F700K,2800
HTC U Ultra,3000
ZTE Blade A475,2000
K007,3950
P1000,4000
SM-N920G,3000
TECNO KA7,3500
5010U,2000
MS650,3000
BLU NEO X,2000
FUN VALUE 4G,2000
ANE-AL00,3000
Bmobile_AX685,2000
TECNO CA6,3000
BLU DASH M,1800
BTV-DL09,5100
MyPhone my85 DTV,1500
Lenovo K920,4000
ZTE Blade V2,2000
Flare P1,1400
iris41,2500
Joy HH5524A,1900
Archos 50B Cobalt,2100
SM-N916L,3220
CLT-L09,4000
TECNO K8,3000
FLA-LX3,4000
Silver Q,2000
SM-J100FN,1850
Admire Fab Q+,1600
SM-A300M,1900
MyPhone my81 DTV,1500
HTC_D10i,3000
T1-A22L,4800
VENTURE 11,1400
Plume L2,3000
HUAWEI KII-L23,3000
5085N,2800
STV100-1,3410
LG-H870S,3300
G36,2000
ZTE BLADE A910,2540
BLL-L21,3340
SM-A730F,3500
Bang 2,1000
Dash L3,1400
CPH1719,3200
YU 6000,4000
ZTE BLADE A330,1250
5056I,2500
A5_Ready_TM,1400
X5pro,2450
Celkon Q4GPlus,2000
DRA-LX3,3020
Che1-L04,3000
lephone_W9,2530
V1,2300
Elite 2 Plus,3340
HUAWEI SCC-U21,2200
Coolpad E571,2500
ZTE BLADE A0622,5000
DIG-L01,3020
ONEPLUS A6000,3300
BLADE A6 MAX,5000
M1,5000
LG-H918,3200
BLADE V8 SE,2730
Lenovo TAB 2 A7-30F,3450
7048X,2500
Galaxy J7 Pro,3600
Panasonic_T50,1600
P01Z,3450
E5563,2930
CLT-L29,4000
K2,4000
LG-D851,3000
LLD-L31,3000
SAMSUNG-SGH-I537,2600
SM-J810Y,3500
B1-780,3700
Flare J7,3600
Panasonic ELUGA Tapp,2800
X1 atom,1400
H4113,3300
PGN-509,860
Redmi Y2,3080
SM-C701F,3300
SM-J530L,3000
MITO T71,3360
Desh-X,3765
SM-J327U,2400
Z2,3200
CPH1611,4000
SM-G9287C,3000
SM-T819Y,5870
M3s,3020
Nitro_4,1830
SAMSUNG-SM-G850A,1860
STK_Sync_5e,1900
Doogee X5 MAX PRO,2300
O+ Ultra Lite,5000
Advance A4,1600
InFocus M2_3G,4200
ASUS_Z00TD,3000
ONEPLUS A6003,3300
Titanium Jumbo,1800
R8,2000
MYPAD 7,4100
HUAWEI P7-L12,2500
HTC_D820f,2600
Apollo 5 Neo,1900
HTC Desire 630 dual sim,2200
I_S4s,1432
BQ-5591,3100
LEX650,4000
LG-H631,3000
M24i,5000
verykools5037,2000
A82,2000
ZTE BLADE L0510,2150
GO452,2070
TECNO Camon CX,3200
9010X,4060
Micromax Q450,2000
Panasonic ELUGA Arc,1800
MS50S,4000
LT500 PRO,1700
ASUS_Z011DD,3000
C4,2600
Philips S337,2000
P9,3000
H8266,3180
SM-J737P,3300
HTC One E9s dual sim,2600
iris758,1550
SM-T235,4000
ZB551KL,3010
Infinix X5514D,3050
W_P200CM,4000
6039A,2000
LT700 PRO,2400
H150,970
Cogent Colours,3500
P00C,4890
Z831,2300
VS500,2125
LM-Q710(FGN),3300
Duopix F1,2500
HOT_3,4000
A110,1400
O3,4025
SM-G935K,3600
JMM-L22,3000
verykools5019,2000
LG-D618,2440
SM-N7505,3100
KIOWA X5,3060
M653,3400
LGV33,3300
LG-M703,3000
PRA-LX3,3000
Infinix X573B,4000
verykool Wave Pro s5021,2000
E5663,2600
E5303,2600
SM-C9000,4000
ANE-LX3,3000
SM-J710GN,3300
Che1-CL20,3000
4034D,1500
Archos 50 Platinum 4G,2000
PH-1,3040
Lenovo TAB 2 A7-30HC,3450
Aqua Speed HD,1700
era1X,2500
SM-N950U1,3300
7_Plus,2900
H60,3100
TECNO i3 Pro,3050
SHV42,3130
Eros Smart,3400
Flare_J1_mini,1500
MediaPad 10 LINK,6600
L30,1540
ZTE BLADE A520,2400
Z959,3080
GO Onyx Plus,2525
Z861BL,3000
LGL62VL,2300
SAMSUNG-SM-G920AZ,2550
VS987,2800
Micromax Q461,4000
Titan,1600
W510,880
P7075,5000
Panasonic T45 4G,1800
SM-J530S,3000
Hisense C1,4230
A505 JOY Plus,1700
V49,3300
Z987,3200
WAS-LX3,3000
SM-N920K,3000
LGL83BL,3080
CRO-L02,2200
H1711,4050
IP7,1960
LM-X210CM,2500
M5c,3000
Micromax Q380N,2000
HTC Desire 816,2600
GT-I9300T,2100
HTV31,2700
E2306,2400
GIONEE A1,4010
C6902,3000
F8331,2900
XT1565,3630
Micromax Q402+,1300
LG-M200,2500
HTC Desire 728G dual sim,2800
A9 Indian,3800
QMobile S6,2500
Evo 5.0,3200
M4 SS4450,2400
ZB500KG,2600
Lenovo A6020l37,2750
M503,2000
Spice Mi-498,1700
TA-1038,2630
I-S6,2550
Omega Icon 2,2500
ZTE T520,2150
W_C800S,3000
ZTE Blade A476,1250
5056W,2500
V16,3700
Panasonic P99,2000
X4_Soul_Lite,3000
Micromax P701,4000
